episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,2.73,0.2,1474,4,-1,-1,500,3517.0
2,2.43,0.0,2441,-1,-1,-1,500,2549.0
3,3.16,0.2,2612,1,-1,-1,500,2379.0
4,2.14,0.2,3362,7,-1,-1,500,1629.0
5,2.91,0.0,2462,-1,-1,-1,500,2528.0
6,1.95,0.2,1994,10,-1,-1,500,2997.0
7,1.32,0.0,2504,-1,-1,-1,500,2490.0
8,2.78,0.2,1967,32,-1,-1,500,3025.0
9,2.72,0.2,2809,14,-1,-1,500,2182.0
10,1.82,0.0,2916,-1,-1,-1,500,2076.0
11,3.24,0.0,981,-1,-1,-1,500,4011.0
12,2.42,0.0,2519,-1,-1,-1,500,2475.0
13,3.06,0.0,1451,-1,-1,-1,500,3539.0
14,2.24,0.0,2406,-1,-1,-1,500,2585.0
15,1.85,0.2,3392,15,-1,-1,500,1599.0
16,2.93,0.0,2860,-1,-1,-1,500,2130.0
17,2.5,0.2,1500,13,-1,-1,500,3491.0
18,2.63,0.4,2476,6,-1,-1,500,2516.0
19,3.44,0.4,1937,6,-1,-1,500,3053.0
20,2.36,0.0,2454,-1,-1,-1,500,2538.0
21,2.58,0.0,2472,-1,-1,-1,500,2520.0
22,2.3,0.0,2482,-1,-1,-1,500,2510.0
23,1.85,0.4,4250,1,-1,-1,500,745.0
24,2.06,0.0,2972,-1,-1,-1,500,2021.0
25,1.49,0.0,2992,-1,-1,-1,500,2002.0
26,2.26,0.0,2445,-1,-1,-1,500,2545.0
27,2.54,0.2,3368,9,-1,-1,500,1623.0
28,2.08,0.2,3882,6,-1,-1,500,1110.0
29,1.89,0.0,3453,-1,-1,-1,500,1539.0
30,2.62,0.0,1998,-1,-1,-1,500,2993.0
